t,E_tot,E_x,E_y,proj_bx
5.00000000e-01,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22718316e-08
1.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45435753e-08
1.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.68151429e-08
2.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90864465e-08
2.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.13573981e-08
3.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36279097e-08
3.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.58978932e-08
4.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81672608e-08
4.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.10435924e-07
5.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22703796e-07
5.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.34970788e-07
6.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47236811e-07
6.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.59501779e-07
7.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.71765603e-07
7.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.84028195e-07
8.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96289468e-07
8.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.08549333e-07
9.00000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.20807702e-07
9.50000000e+00,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.33064488e-07
1.00000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45319602e-07
1.05000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.57572957e-07
1.10000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.69824465e-07
1.15000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.82074038e-07
1.20000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.94321588e-07
1.25000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.06567028e-07
1.30000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.18810269e-07
1.35000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.31051223e-07
1.40000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.43289804e-07
1.45000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.55525922e-07
1.50000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.67759492e-07
1.55000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.79990423e-07
1.60000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.92218630e-07
1.65000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.04444024e-07
1.70000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.16666518e-07
1.75000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.28886023e-07
1.80000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.41102453e-07
1.85000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.53315720e-07
1.90000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.65525735e-07
1.95000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.77732413e-07
2.00000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.89935664e-07
2.05000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.02135402e-07
2.10000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.14331538e-07
2.15000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.26523987e-07
2.20000000e+01,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.38712659e-07
