t,E_tot,E_x,E_y,proj_bx
5.00000000e-01,4.30080000e-08,4.30066453e-08,1.35473170e-12,1.22717672e-08
1.00000000e+00,4.30080000e-08,4.30025813e-08,5.41868326e-12,2.45430599e-08
1.50000000e+00,4.30080000e-08,4.29958089e-08,1.21911241e-11,3.68134034e-08
2.00000000e+00,4.30080000e-08,4.29863292e-08,2.16708366e-11,4.90823234e-08
2.50000000e+00,4.30080000e-08,4.29741439e-08,3.38561167e-11,6.13493454e-08
3.00000000e+00,4.30080000e-08,4.29592552e-08,4.87447741e-11,7.36139952e-08
3.50000000e+00,4.30080000e-08,4.29416659e-08,6.63341326e-11,8.58757985e-08
4.00000000e+00,4.30080000e-08,4.29213790e-08,8.66210309e-11,9.81342815e-08
4.50000000e+00,4.30080000e-08,4.28983982e-08,1.09601823e-10,1.10388970e-07
5.00000000e+00,4.30080000e-08,4.28727276e-08,1.35272380e-10,1.22639392e-07
5.50000000e+00,4.30080000e-08,4.28443719e-08,1.63628090e-10,1.34885072e-07
6.00000000e+00,4.30080000e-08,4.28133361e-08,1.94663858e-10,1.47125538e-07
6.50000000e+00,4.30080000e-08,4.27796259e-08,2.28374111e-10,1.59360317e-07
7.00000000e+00,4.30080000e-08,4.27432472e-08,2.64752794e-10,1.71588938e-07
7.50000000e+00,4.30080000e-08,4.27042066e-08,3.03793376e-10,1.83810927e-07
8.00000000e+00,4.30080000e-08,4.26625112e-08,3.45488848e-10,1.96025814e-07
8.50000000e+00,4.30080000e-08,4.26181683e-08,3.89831728e-10,2.08233126e-07
9.00000000e+00,4.30080000e-08,4.25711859e-08,4.36814058e-10,2.20432394e-07
9.50000000e+00,4.30080000e-08,4.25215726e-08,4.86427412e-10,2.32623147e-07
1.00000000e+01,4.30080000e-08,4.24693371e-08,5.38662890e-10,2.44804915e-07
1.05000000e+01,4.30080000e-08,4.24144889e-08,5.93511127e-10,2.56977230e-07
1.10000000e+01,4.30080000e-08,4.23570377e-08,6.50962293e-10,2.69139621e-07
1.15000000e+01,4.30080000e-08,4.22969939e-08,7.11006093e-10,2.81291622e-07
1.20000000e+01,4.30080000e-08,4.22343682e-08,7.73631770e-10,2.93432765e-07
1.25000000e+01,4.30080000e-08,4.21691719e-08,8.38828111e-10,3.05562582e-07
1.30000000e+01,4.30080000e-08,4.21014166e-08,9.06583446e-10,3.17680609e-07
1.35000000e+01,4.30080000e-08,4.20311144e-08,9.76885648e-10,3.29786378e-07
1.40000000e+01,4.30080000e-08,4.19582779e-08,1.04972214e-09,3.41879427e-07
