t,E_tot,E_x,E_y,proj_bx
5.00000000e-03,4.30080000e-12,4.30079999e-12,1.35475200e-20,1.22702835e-12
1.00000000e-02,4.30080000e-12,4.30079995e-12,5.41900797e-20,2.45404320e-12
1.50000000e-02,4.30080000e-12,4.30079988e-12,1.21927678e-19,3.68104414e-12
2.00000000e-02,4.30080000e-12,4.30079978e-12,2.16760315e-19,4.90803076e-12
2.50000000e-02,4.30080000e-12,4.30079966e-12,3.38687987e-19,6.13500268e-12
3.00000000e-02,4.30080000e-12,4.30079951e-12,4.87710694e-19,7.36195947e-12
3.50000000e-02,4.30080000e-12,4.30079934e-12,6.63828431e-19,8.58890074e-12
4.00000000e-02,4.30080000e-12,4.30079913e-12,8.67041197e-19,9.81582606e-12
4.50000000e-02,4.30080000e-12,4.30079890e-12,1.09734899e-18,1.10427350e-11
5.00000000e-02,4.30080000e-12,4.30079865e-12,1.35475180e-18,1.22696272e-11
5.50000000e-02,4.30080000e-12,4.30079836e-12,1.63924962e-18,1.34965022e-11
6.00000000e-02,4.30080000e-12,4.30079805e-12,1.95084246e-18,1.47233596e-11
6.50000000e-02,4.30080000e-12,4.30079771e-12,2.28953030e-18,1.59501990e-11
7.00000000e-02,4.30080000e-12,4.30079735e-12,2.65531314e-18,1.71770199e-11
7.50000000e-02,4.30080000e-12,4.30079695e-12,3.04819097e-18,1.84038219e-11
8.00000000e-02,4.30080000e-12,4.30079653e-12,3.46816379e-18,1.96306047e-11
8.50000000e-02,4.30080000e-12,4.30079609e-12,3.91523159e-18,2.08573677e-11
9.00000000e-02,4.30080000e-12,4.30079561e-12,4.38939435e-18,2.20841106e-11
9.50000000e-02,4.30080000e-12,4.30079511e-12,4.89065208e-18,2.33108330e-11
1.00000000e-01,4.30080000e-12,4.30079458e-12,5.41900476e-18,2.45375343e-11
1.05000000e-01,4.30080000e-12,4.30079403e-12,5.97445238e-18,2.57642142e-11
1.10000000e-01,4.30080000e-12,4.30079345e-12,6.55699493e-18,2.69908724e-11
1.15000000e-01,4.30080000e-12,4.30079284e-12,7.16663241e-18,2.82175082e-11
1.20000000e-01,4.30080000e-12,4.30079220e-12,7.80336480e-18,2.94441214e-11
1.25000000e-01,4.30080000e-12,4.30079154e-12,8.46719208e-18,3.06707115e-11
1.30000000e-01,4.30080000e-12,4.30079085e-12,9.15811426e-18,3.18972781e-11
1.35000000e-01,4.30080000e-12,4.30079013e-12,9.87613131e-18,3.31238208e-11
