t,E_tot,E_x,E_y,proj_bx
1.00000000e-02,4.30080000e-12,4.30079995e-12,5.41900797e-20,2.45404319e-12
2.00000000e-02,4.30080000e-12,4.30079978e-12,2.16760315e-19,4.90803076e-12
3.00000000e-02,4.30080000e-12,4.30079951e-12,4.87710694e-19,7.36195947e-12
4.00000000e-02,4.30080000e-12,4.30079913e-12,8.67041197e-19,9.81582605e-12
5.00000000e-02,4.30080000e-12,4.30079865e-12,1.35475180e-18,1.22696272e-11
6.00000000e-02,4.30080000e-12,4.30079805e-12,1.95084246e-18,1.47233596e-11
7.00000000e-02,4.30080000e-12,4.30079735e-12,2.65531314e-18,1.71770199e-11
8.00000000e-02,4.30080000e-12,4.30079653e-12,3.46816379e-18,1.96306047e-11
9.00000000e-02,4.30080000e-12,4.30079561e-12,4.38939435e-18,2.20841106e-11
1.00000000e-01,4.30080000e-12,4.30079458e-12,5.41900476e-18,2.45375343e-11
1.10000000e-01,4.30080000e-12,4.30079345e-12,6.55699493e-18,2.69908723e-11
1.20000000e-01,4.30080000e-12,4.30079220e-12,7.80336480e-18,2.94441214e-11
1.30000000e-01,4.30080000e-12,4.30079085e-12,9.15811426e-18,3.18972781e-11
1.40000000e-01,4.30080000e-12,4.30078938e-12,1.06212432e-17,3.43503391e-11
1.50000000e-01,4.30080001e-12,4.30078781e-12,1.21927516e-17,3.68033011e-11
1.60000000e-01,4.30080001e-12,4.30078613e-12,1.38726392e-17,3.92561609e-11
1.70000000e-01,4.30080001e-12,4.30078435e-12,1.56609061e-17,4.17089153e-11
1.80000000e-01,4.30080001e-12,4.30078245e-12,1.75575519e-17,4.41615610e-11
1.90000000e-01,4.30080001e-12,4.30078045e-12,1.95625767e-17,4.66140950e-11
2.00000000e-01,4.30080001e-12,4.30077834e-12,2.16759802e-17,4.90665142e-11
2.10000000e-01,4.30080001e-12,4.30077612e-12,2.38977623e-17,5.15188157e-11
2.20000000e-01,4.30080002e-12,4.30077379e-12,2.62279229e-17,5.39709965e-11
2.30000000e-01,4.30080002e-12,4.30077135e-12,2.86664617e-17,5.64230539e-11
2.40000000e-01,4.30080002e-12,4.30076881e-12,3.12133787e-17,5.88749851e-11
2.50000000e-01,4.30080002e-12,4.30076615e-12,3.38686736e-17,6.13267875e-11
2.60000000e-01,4.30080003e-12,4.30076339e-12,3.66323462e-17,6.37784586e-11
2.70000000e-01,4.30080003e-12,4.30076052e-12,3.95043964e-17,6.62299960e-11
2.80000000e-01,4.30080003e-12,4.30075755e-12,4.24848240e-17,6.86813973e-11
2.90000000e-01,4.30080004e-12,4.30075446e-12,4.55736287e-17,7.11326603e-11
3.00000000e-01,4.30080004e-12,4.30075127e-12,4.87708102e-17,7.35837831e-11
