t,E_tot,E_x,E_y,proj_bx
1.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45404278e-10
2.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90803034e-10
3.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36195912e-10
4.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81582586e-10
5.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22696273e-09
6.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47233601e-09
7.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.71770210e-09
8.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96306067e-09
9.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.20841137e-09
1.00000000e-01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45375387e-09
1.10000000e-01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.69908784e-09
1.20000000e-01,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.94441295e-09
1.30000000e-01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.18972886e-09
1.40000000e-01,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.43503524e-09
1.50000000e-01,4.30080001e-08,4.30080001e-08,0.00000000e+00,3.68033176e-09
1.60000000e-01,4.30080001e-08,4.30080001e-08,0.00000000e+00,3.92561811e-09
1.70000000e-01,4.30080001e-08,4.30080001e-08,0.00000000e+00,4.17089396e-09
1.80000000e-01,4.30080001e-08,4.30080001e-08,0.00000000e+00,4.41615901e-09
1.90000000e-01,4.30080001e-08,4.30080001e-08,0.00000000e+00,4.66141293e-09
2.00000000e-01,4.30080001e-08,4.30080001e-08,0.00000000e+00,4.90665544e-09
2.10000000e-01,4.30080001e-08,4.30080001e-08,0.00000000e+00,5.15188623e-09
2.20000000e-01,4.30080002e-08,4.30080002e-08,0.00000000e+00,5.39710503e-09
2.30000000e-01,4.30080002e-08,4.30080002e-08,0.00000000e+00,5.64231155e-09
2.40000000e-01,4.30080002e-08,4.30080002e-08,0.00000000e+00,5.88750552e-09
2.50000000e-01,4.30080002e-08,4.30080002e-08,0.00000000e+00,6.13268669e-09
2.60000000e-01,4.30080003e-08,4.30080003e-08,0.00000000e+00,6.37785480e-09
2.70000000e-01,4.30080003e-08,4.30080003e-08,0.00000000e+00,6.62300962e-09
2.80000000e-01,4.30080003e-08,4.30080003e-08,0.00000000e+00,6.86815092e-09
2.90000000e-01,4.30080004e-08,4.30080004e-08,0.00000000e+00,7.11327848e-09
3.00000000e-01,4.30080004e-08,4.30080004e-08,0.00000000e+00,7.35839210e-09
3.10000000e-01,4.30080004e-08,4.30080004e-08,0.00000000e+00,7.60349158e-09
3.20000000e-01,4.30080005e-08,4.30080005e-08,0.00000000e+00,7.84857675e-09
3.30000000e-01,4.30080006e-08,4.30080006e-08,0.00000000e+00,8.09364745e-09
3.40000000e-01,4.30080006e-08,4.30080006e-08,0.00000000e+00,8.33870352e-09
3.50000000e-01,4.30080007e-08,4.30080007e-08,0.00000000e+00,8.58374482e-09
3.60000000e-01,4.30080008e-08,4.30080008e-08,0.00000000e+00,8.82877124e-09
3.70000000e-01,4.30080008e-08,4.30080008e-08,0.00000000e+00,9.07378266e-09
3.80000000e-01,4.30080009e-08,4.30080009e-08,0.00000000e+00,9.31877899e-09
3.90000000e-01,4.30080010e-08,4.30080010e-08,0.00000000e+00,9.56376016e-09
4.00000000e-01,4.30080011e-08,4.30080011e-08,0.00000000e+00,9.80872609e-09
4.10000000e-01,4.30080012e-08,4.30080012e-08,0.00000000e+00,1.00536768e-08
4.20000000e-01,4.30080014e-08,4.30080014e-08,0.00000000e+00,1.02986121e-08
4.30000000e-01,4.30080015e-08,4.30080015e-08,0.00000000e+00,1.05435321e-08
4.40000000e-01,4.30080016e-08,4.30080016e-08,0.00000000e+00,1.07884368e-08
4.50000000e-01,4.30080018e-08,4.30080018e-08,0.00000000e+00,1.10333262e-08
4.60000000e-01,4.30080019e-08,4.30080019e-08,0.00000000e+00,1.12782003e-08
4.70000000e-01,4.30080021e-08,4.30080021e-08,0.00000000e+00,1.15230591e-08
4.80000000e-01,4.30080023e-08,4.30080023e-08,0.00000000e+00,1.17679028e-08
