t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45406732e-11,1.17480360e-16,-2.46709751e-15,0.00000000e+00,0.00000000e+00,4.79444073e-21,0.00000000e+00,-1.71558137e-19,0.00000000e+00,-1.53494505e-18,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90812936e-11,2.34960457e-16,-4.93418944e-15,0.00000000e+00,0.00000000e+00,1.91367161e-20,0.00000000e+00,-3.42720954e-19,0.00000000e+00,1.29261649e-20,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36218610e-11,3.52440279e-16,-7.40127549e-15,0.00000000e+00,0.00000000e+00,4.29658587e-20,0.00000000e+00,-5.13521781e-19,0.00000000e+00,-4.56943258e-18,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81623749e-11,4.69919813e-16,-9.86835534e-15,0.00000000e+00,0.00000000e+00,7.62216985e-20,0.00000000e+00,-6.83993710e-19,0.00000000e+00,4.95865562e-20,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22702835e-10,5.87399045e-16,-1.23354287e-14,0.00000000e+00,0.00000000e+00,1.18844854e-19,0.00000000e+00,-8.54169596e-19,0.00000000e+00,-7.56029530e-18,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47243241e-10,7.04877964e-16,-1.48024953e-14,0.00000000e+00,0.00000000e+00,1.70776725e-19,0.00000000e+00,-1.02408208e-18,0.00000000e+00,1.06863317e-19,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.71783593e-10,8.22356555e-16,-1.72695548e-14,0.00000000e+00,0.00000000e+00,2.31959481e-19,0.00000000e+00,-1.19376355e-18,0.00000000e+00,-1.05117547e-17,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96323891e-10,9.39834806e-16,-1.97366068e-14,0.00000000e+00,0.00000000e+00,3.02336059e-19,0.00000000e+00,-1.36324622e-18,0.00000000e+00,1.81714440e-19,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.20864133e-10,1.05731270e-15,-2.22036512e-14,0.00000000e+00,0.00000000e+00,3.81850149e-19,0.00000000e+00,-1.53256202e-18,0.00000000e+00,-1.34279523e-17,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45404320e-10,1.17479024e-15,-2.46706876e-14,0.00000000e+00,0.00000000e+00,4.70446191e-19,0.00000000e+00,-1.70174275e-18,0.00000000e+00,2.71169795e-19,0.00000000e+00
1.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.69944451e-10,1.29226739e-15,-2.71377158e-14,0.00000000e+00,0.00000000e+00,5.68069365e-19,0.00000000e+00,-1.87081988e-18,0.00000000e+00,-1.63129541e-17,0.00000000e+00
1.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.94484527e-10,1.40974415e-15,-2.96047353e-14,0.00000000e+00,0.00000000e+00,6.74665584e-19,0.00000000e+00,-2.03982483e-18,0.00000000e+00,3.72327224e-19,0.00000000e+00
1.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.19024546e-10,1.52722051e-15,-3.20717460e-14,0.00000000e+00,0.00000000e+00,7.90181485e-19,0.00000000e+00,-2.20878864e-18,0.00000000e+00,-1.91707537e-17,0.00000000e+00
1.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.43564509e-10,1.64469646e-15,-3.45387475e-14,0.00000000e+00,0.00000000e+00,9.14564424e-19,0.00000000e+00,-2.37774235e-18,0.00000000e+00,4.82348691e-19,0.00000000e+00
1.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.68104415e-10,1.76217197e-15,-3.70057395e-14,0.00000000e+00,0.00000000e+00,1.04776247e-18,0.00000000e+00,-2.54671656e-18,0.00000000e+00,-2.20052767e-17,0.00000000e+00
1.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.92644264e-10,1.87964704e-15,-3.94727218e-14,0.00000000e+00,0.00000000e+00,1.18972438e-18,0.00000000e+00,-2.71574196e-18,0.00000000e+00,5.98456503e-19,0.00000000e+00
1.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.17184055e-10,1.99712166e-15,-4.19396941e-14,0.00000000e+00,0.00000000e+00,1.34039964e-18,0.00000000e+00,-2.88484872e-18,0.00000000e+00,-2.48203840e-17,0.00000000e+00
1.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.41723788e-10,2.11459582e-15,-4.44066560e-14,0.00000000e+00,0.00000000e+00,1.49973838e-18,0.00000000e+00,-3.05406723e-18,0.00000000e+00,7.17929582e-19,0.00000000e+00
1.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.66263463e-10,2.23206950e-15,-4.68736074e-14,0.00000000e+00,0.00000000e+00,1.66769145e-18,0.00000000e+00,-3.22342719e-18,0.00000000e+00,-2.76198757e-17,0.00000000e+00
2.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90803080e-10,2.34954268e-15,-4.93405478e-14,0.00000000e+00,0.00000000e+00,1.84421036e-18,0.00000000e+00,-3.39295872e-18,0.00000000e+00,8.38099810e-19,0.00000000e+00
2.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.15342638e-10,2.46701536e-15,-5.18074771e-14,0.00000000e+00,0.00000000e+00,2.02924730e-18,0.00000000e+00,-3.56269107e-18,0.00000000e+00,-3.04074946e-17,0.00000000e+00
2.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.39882137e-10,2.58448753e-15,-5.42743949e-14,0.00000000e+00,0.00000000e+00,2.22275509e-18,0.00000000e+00,-3.73265412e-18,0.00000000e+00,9.56348424e-19,0.00000000e+00
2.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.64421576e-10,2.70195918e-15,-5.67413010e-14,0.00000000e+00,0.00000000e+00,2.42468723e-18,0.00000000e+00,-3.90287666e-18,0.00000000e+00,-3.31869297e-17,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.88960956e-10,2.81943028e-15,-5.92081951e-14,0.00000000e+00,0.00000000e+00,2.63499789e-18,0.00000000e+00,-4.07338834e-18,0.00000000e+00,1.07010249e-18,0.00000000e+00
