t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45436926e-11,1.17495290e-16,-2.46740110e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.87730092e-28,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90873852e-11,2.34990581e-16,-4.93480220e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.79214307e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36310778e-11,3.52485871e-16,-7.40220330e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.08579827e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81747704e-11,4.69981162e-16,-9.86960440e-15,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.98038208e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22718463e-10,5.87476452e-16,-1.23370055e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.44755870e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47262156e-10,7.04971742e-16,-1.48044066e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.70097475e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.71805848e-10,8.22467033e-16,-1.72718077e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.06274259e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96349541e-10,9.39962323e-16,-1.97392088e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.49607844e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.20893233e-10,1.05745761e-15,-2.22066099e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.03186988e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45436926e-10,1.17495290e-15,-2.46740110e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.09754088e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.69980619e-10,1.29244819e-15,-2.71414120e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.08186462e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
