t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,2.45437772e-11,-1.87274688e-17,0.00000000e+00,1.17495694e-16,-2.46742672e-15,0.00000000e+00,0.00000000e+00,-3.09970400e-23,0.00000000e+00,-1.87274688e-17,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,1.67213784e-39,4.30080000e-08,4.90877258e-11,-3.56175930e-19,-3.56175930e-22,2.34992195e-16,-4.93490606e-15,-1.11918526e-46,6.71512981e-46,-2.80380622e-22,4.02913956e-44,-3.56175930e-19,7.00491800e-52,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907579e-38,4.30080000e-08,7.36318496e-11,-1.93001695e-17,-1.96563454e-20,3.52489510e-16,-7.40244023e-15,-1.39277351e-45,8.35663490e-45,-9.90050259e-22,2.86516812e-43,-1.93001695e-17,9.47855972e-51,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,4.18034452e-38,4.30080000e-08,9.81761529e-11,-7.27384808e-19,-2.03837302e-20,4.69987642e-16,-9.87003154e-15,-6.90173936e-45,4.14102615e-44,-2.41192657e-21,1.00728643e-42,-7.27384808e-19,5.10675393e-50,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,1.07016818e-37,4.30080000e-08,1.22720640e-10,-1.98962503e-17,-4.02799805e-20,5.87486599e-16,-1.23376824e-14,-2.26826393e-44,1.36094770e-43,-4.80830270e-21,2.57865522e-42,-1.98962503e-17,1.77185753e-49,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,2.27596530e-37,4.30080000e-08,1.47265315e-10,-1.11445364e-18,-4.13944341e-20,7.04986382e-16,-1.48053953e-14,-5.87589254e-44,3.52549452e-43,-8.45220781e-21,5.48412339e-42,-1.11445364e-18,4.82743020e-49,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,4.28067264e-37,4.30079999e-08,1.71810182e-10,-2.05167811e-17,-6.19112152e-20,8.22486996e-16,-1.72731729e-14,-1.30128719e-43,7.80760103e-43,-1.36277829e-20,1.03146369e-41,-2.05167811e-17,1.10551644e-48,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,7.37412741e-37,4.30079999e-08,1.96355246e-10,-1.51825350e-18,-6.34294687e-20,9.39988444e-16,-1.97410177e-14,-2.57759921e-43,1.54652876e-42,-2.06306695e-20,1.77685880e-41,-1.51825350e-18,2.25087557e-48,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907571e-36,4.30079999e-08,2.20900511e-10,-2.11628824e-17,-8.45923511e-20,1.05749073e-15,-2.22089328e-14,-4.69585397e-43,2.81744360e-42,-2.97684115e-20,2.86518157e-41,-2.11628824e-17,4.15476507e-48,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,1.82095795e-36,4.30079999e-08,2.45445983e-10,-1.93970172e-18,-8.65320529e-20,1.17499385e-15,-2.46769208e-14,-8.01498252e-43,4.80884902e-42,-4.13608705e-20,4.38776064e-41,-1.93970172e-18,7.12523573e-48,0.00000000e+00,0.00000000e+00
1.10000000e-02,4.30080000e-08,4.30080000e-08,2.67542029e-36,4.30079998e-08,2.69991665e-10,-2.18357276e-17,-1.08367780e-19,1.29249780e-15,-2.71449850e-14,-1.29834721e-42,7.78981588e-42,-5.57406554e-20,6.44666950e-41,-2.18357276e-17,1.14216518e-47,0.00000000e+00,0.00000000e+00
1.20000000e-02,4.30080000e-08,4.30080000e-08,3.79928256e-36,4.30079998e-08,2.94537563e-10,-2.37976413e-18,-1.10747545e-19,1.41000260e-15,-2.96131284e-14,-2.01493211e-42,1.20891119e-41,-7.32535662e-20,9.15472647e-41,-2.37976413e-18,1.73295913e-47,0.00000000e+00,0.00000000e+00
1.30000000e-02,4.30080000e-08,4.30080000e-08,5.24382364e-36,4.30079998e-08,3.19083681e-10,-2.25365454e-17,-1.33284090e-19,1.52750822e-15,-3.20813542e-14,-3.01699952e-42,1.81011722e-41,-9.42590527e-20,1.26354949e-40,-2.25365454e-17,2.48811375e-47,0.00000000e+00,0.00000000e+00
1.40000000e-02,4.30080000e-08,4.30080000e-08,7.06478146e-36,4.30079998e-08,3.43630025e-10,-2.83945745e-18,-1.36123547e-19,1.64501468e-15,-3.45496658e-14,-4.38223849e-42,2.62920700e-41,-1.19130689e-19,1.70232830e-40,-2.83945745e-18,3.39908988e-47,0.00000000e+00,0.00000000e+00
1.50000000e-02,4.30080000e-08,4.30080000e-08,9.32235293e-36,4.30079997e-08,3.68176599e-10,-2.32666225e-17,-1.59390170e-19,1.76252197e-15,-3.70180669e-14,-6.20127655e-42,3.72054879e-41,-1.48256662e-19,2.24631444e-40,-2.32666225e-17,4.39050243e-47,0.00000000e+00,0.00000000e+00
1.60000000e-02,4.30080000e-08,4.30080000e-08,1.20811940e-35,4.30079997e-08,3.92723410e-10,-3.31985177e-18,-1.62710022e-19,1.88003008e-15,-3.94865609e-14,-8.57867575e-42,5.14686883e-41,-1.82040280e-19,2.91108776e-40,-3.31985177e-18,5.34403908e-47,0.00000000e+00,0.00000000e+00
1.70000000e-02,4.30080000e-08,4.30080000e-08,1.54104198e-35,4.30079996e-08,4.17270461e-10,-2.40273065e-17,-1.86737328e-19,1.99753901e-15,-4.19551517e-14,-1.16339291e-41,6.97984849e-41,-2.20900494e-19,3.71330268e-40,-2.40273065e-17,6.00018585e-47,0.00000000e+00,0.00000000e+00
1.80000000e-02,4.30080000e-08,4.30080000e-08,1.93836042e-35,4.30079996e-08,4.41817760e-10,-3.82207316e-18,-1.90559401e-19,2.11504874e-15,-4.44238431e-14,-1.55024570e-41,9.30072137e-41,-2.65272438e-19,4.67068812e-40,-3.82207316e-18,5.99842250e-47,0.00000000e+00,0.00000000e+00
1.90000000e-02,4.30080000e-08,4.30080000e-08,2.40787804e-35,4.30079996e-08,4.66365310e-10,-2.48200081e-17,-2.15379409e-19,2.23255927e-15,-4.68926393e-14,-2.03366043e-41,1.22008705e-40,-3.15607987e-19,5.80204759e-40,-2.48200081e-17,4.71362012e-47,0.00000000e+00,0.00000000e+00
2.00000000e-02,4.30080000e-08,4.30080000e-08,2.95784404e-35,4.30079995e-08,4.90913118e-10,-4.34730644e-18,-2.19726716e-19,2.35007059e-15,-4.93615444e-14,-2.63066372e-41,1.57824253e-40,-3.72376335e-19,7.12725913e-40,-4.34730644e-18,1.32056016e-47,0.00000000e+00,0.00000000e+00
2.10000000e-02,4.30080000e-08,4.30080000e-08,3.59695353e-35,4.30079995e-08,5.15461190e-10,-2.56462047e-17,-2.45372921e-19,2.46758268e-15,-5.18305628e-14,-3.36017412e-41,2.01588589e-40,-4.36064588e-19,8.66727538e-40,-2.56462047e-17,-5.46477404e-47,0.00000000e+00,0.00000000e+00
2.20000000e-02,4.30080000e-08,4.30080000e-08,4.33434753e-35,4.30079994e-08,5.40009532e-10,-4.89679798e-18,-2.50269719e-19,2.58509554e-15,-5.42996990e-14,-4.24310182e-41,2.54555851e-40,-5.07178380e-19,1.04441235e-39,-4.89679798e-18,-1.72858928e-46,0.00000000e+00,0.00000000e+00
2.30000000e-02,4.30080000e-08,4.30080000e-08,5.17961296e-35,4.30079994e-08,5.64558148e-10,-2.65074430e-17,-2.76777162e-19,2.70260913e-15,-5.67689577e-14,-5.30244859e-41,3.18105556e-40,-5.86242509e-19,1.24809055e-39,-2.65074430e-17,-3.65388078e-46,0.00000000e+00,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,6.14278263e-35,4.30079993e-08,5.89107046e-10,-5.47185876e-18,-2.82249020e-19,2.82012345e-15,-5.92383438e-14,-6.56340756e-41,3.93748568e-40,-6.73801589e-19,1.48017975e-39,-5.47185876e-18,-6.62247550e-46,0.00000000e+00,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,7.23433528e-35,4.30079992e-08,6.13656232e-10,-2.74053425e-17,-3.09654363e-19,2.93763848e-15,-6.17078621e-14,-8.05346321e-41,4.83133071e-40,-7.70420731e-19,1.74320508e-39,-2.74053425e-17,-1.10528206e-45,0.00000000e+00,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,8.46519552e-35,4.30079992e-08,6.38205712e-10,-6.07386747e-18,-3.15728230e-19,3.05515418e-15,-6.41775181e-14,-9.80249136e-41,5.88050535e-40,-8.76686238e-19,2.03979910e-39,-6.07386747e-18,-1.74605428e-45,0.00000000e+00,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,9.84673389e-35,4.30079991e-08,6.62755492e-10,-2.83415989e-17,-3.44069829e-19,3.17267055e-15,-6.66473169e-14,-1.18428592e-40,7.10441688e-40,-9.93206326e-19,2.37270183e-39,-2.83415989e-17,-2.65412165e-45,0.00000000e+00,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,1.13907668e-34,4.30079990e-08,6.87305579e-10,-6.70427384e-18,-3.50774103e-19,3.29018753e-15,-6.91172643e-14,-1.42095256e-40,8.52402481e-40,-1.12061187e-18,2.74476079e-39,-6.70427384e-18,-3.91408620e-45,0.00000000e+00,0.00000000e+00
2.90000000e-02,4.30080000e-08,4.30080000e-08,1.31095566e-34,4.30079990e-08,7.11855979e-10,-2.93179873e-17,-3.80092090e-19,3.40770512e-15,-7.15873659e-14,-1.69401410e-40,1.01619005e-39,-1.25955718e-18,3.15893093e-39,-2.93179873e-17,-5.63718287e-45,0.00000000e+00,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,1.50158116e-34,4.30079989e-08,7.36406699e-10,-7.36460205e-18,-3.87456692e-19,3.52522327e-15,-7.40576278e-14,-2.00751481e-40,1.20422870e-39,-1.41072078e-18,3.61827469e-39,-7.36460205e-18,-7.95726577e-45,0.00000000e+00,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,1.71226858e-34,4.30079988e-08,7.60957747e-10,-3.03363664e-17,-4.17793059e-19,3.64274195e-15,-7.65280561e-14,-2.36578820e-40,1.41911584e-39,-1.57480622e-18,4.12596198e-39,-3.03363664e-17,-1.10467243e-44,0.00000000e+00,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,1.94437793e-34,4.30079988e-08,7.85509129e-10,-8.05645441e-18,-4.25849513e-19,3.76026111e-15,-7.89986572e-14,-2.77346709e-40,1.66362794e-39,-1.75254294e-18,4.68527015e-39,-8.05645441e-18,-1.51111440e-44,0.00000000e+00,0.00000000e+00
3.30000000e-02,4.30080000e-08,4.30080000e-08,2.19931381e-34,4.30079987e-08,8.10060852e-10,-3.13986819e-17,-4.57248195e-19,3.87778072e-15,-8.14694377e-14,-3.23549369e-40,1.94072655e-39,-1.94468715e-18,5.29958404e-39,-3.13986819e-17,-2.04108070e-44,0.00000000e+00,0.00000000e+00
3.40000000e-02,4.30080000e-08,4.30080000e-08,2.47852539e-34,4.30079986e-08,8.34612924e-10,-8.78151506e-18,-4.66029710e-19,3.99530073e-15,-8.39404045e-14,-3.75712965e-40,2.25356415e-39,-2.15202268e-18,5.97239598e-39,-8.78151506e-18,-2.72537326e-44,0.00000000e+00,0.00000000e+00
3.50000000e-02,4.30080000e-08,4.30080000e-08,2.78350647e-34,4.30079985e-08,8.59165351e-10,-3.25069707e-17,-4.98536681e-19,4.11282109e-15,-8.64115647e-14,-4.34396618e-40,2.60549021e-39,-2.37536196e-18,6.70730574e-39,-3.25069707e-17,-3.60243036e-44,0.00000000e+00,0.00000000e+00
