t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,2.45436926e-11,0.00000000e+00,0.00000000e+00,1.17495290e-16,-2.46740110e-15,0.00000000e+00,0.00000000e+00,7.43172384e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,4.90873851e-11,0.00000000e+00,0.00000000e+00,2.34990580e-16,-4.93480219e-15,0.00000000e+00,0.00000000e+00,2.97268953e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,7.36310775e-11,0.00000000e+00,0.00000000e+00,3.52485870e-16,-7.40220327e-15,0.00000000e+00,0.00000000e+00,6.68855142e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,9.81747698e-11,0.00000000e+00,0.00000000e+00,4.69981159e-16,-9.86960434e-15,0.00000000e+00,0.00000000e+00,1.18907580e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,1.22718462e-10,0.00000000e+00,0.00000000e+00,5.87476448e-16,-1.23370054e-14,0.00000000e+00,0.00000000e+00,1.85793094e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,1.47262154e-10,0.00000000e+00,0.00000000e+00,7.04971736e-16,-1.48044065e-14,0.00000000e+00,0.00000000e+00,2.67542054e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079999e-08,1.71805846e-10,0.00000000e+00,0.00000000e+00,8.22467024e-16,-1.72718075e-14,0.00000000e+00,0.00000000e+00,3.64154462e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079999e-08,1.96349538e-10,0.00000000e+00,0.00000000e+00,9.39962311e-16,-1.97392085e-14,0.00000000e+00,0.00000000e+00,4.75630316e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079999e-08,2.20893230e-10,0.00000000e+00,0.00000000e+00,1.05745760e-15,-2.22066096e-14,0.00000000e+00,0.00000000e+00,6.01969617e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079999e-08,2.45436922e-10,0.00000000e+00,0.00000000e+00,1.17495288e-15,-2.46740106e-14,0.00000000e+00,0.00000000e+00,7.43172364e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
