t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90873851e-11,4.69981161e-16,-9.86960438e-15,0.00000000e+00,0.00000000e+00,4.75630325e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81747699e-11,9.39962319e-16,-1.97392087e-14,0.00000000e+00,0.00000000e+00,1.90252129e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47262155e-10,1.40994347e-15,-2.96088130e-14,0.00000000e+00,0.00000000e+00,4.28067288e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96349539e-10,1.87992463e-15,-3.94784172e-14,0.00000000e+00,0.00000000e+00,7.61008509e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45436923e-10,2.34990578e-15,-4.93480213e-14,0.00000000e+00,0.00000000e+00,1.18907579e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.94524307e-10,2.81988692e-15,-5.92176254e-14,0.00000000e+00,0.00000000e+00,1.71226913e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.43611690e-10,3.28986807e-15,-6.90872294e-14,0.00000000e+00,0.00000000e+00,2.33058852e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.92699074e-10,3.75984920e-15,-7.89568333e-14,0.00000000e+00,0.00000000e+00,3.04403397e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.41786457e-10,4.22983034e-15,-8.88264371e-14,0.00000000e+00,0.00000000e+00,3.85260547e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90873839e-10,4.69981147e-15,-9.86960409e-14,0.00000000e+00,0.00000000e+00,4.75630303e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.39961222e-10,5.16979260e-15,-1.08565645e-13,0.00000000e+00,0.00000000e+00,5.75512663e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.89048604e-10,5.63977372e-15,-1.18435248e-13,0.00000000e+00,0.00000000e+00,6.84907628e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.38135986e-10,6.10975484e-15,-1.28304852e-13,0.00000000e+00,0.00000000e+00,8.03815198e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.87223367e-10,6.57973595e-15,-1.38174455e-13,0.00000000e+00,0.00000000e+00,9.32235372e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36310748e-10,7.04971705e-15,-1.48044058e-13,0.00000000e+00,0.00000000e+00,1.07016815e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.85398129e-10,7.51969815e-15,-1.57913661e-13,0.00000000e+00,0.00000000e+00,1.21761353e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.34485510e-10,7.98967925e-15,-1.67783264e-13,0.00000000e+00,0.00000000e+00,1.37457152e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.83572890e-10,8.45966034e-15,-1.77652867e-13,0.00000000e+00,0.00000000e+00,1.54104211e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.32660270e-10,8.92964142e-15,-1.87522470e-13,0.00000000e+00,0.00000000e+00,1.71702530e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
