t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90873851e-11,4.69981161e-16,-9.86960438e-15,0.00000000e+00,0.00000000e+00,4.75630325e-23,0.00000000e+00,-5.04131358e-37,2.47547304e-25,2.47547304e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81747699e-11,9.39962319e-16,-1.97392087e-14,0.00000000e+00,0.00000000e+00,1.90252129e-22,0.00000000e+00,-8.72584338e-37,9.90189209e-25,9.90189209e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47262155e-10,1.40994347e-15,-2.96088130e-14,0.00000000e+00,0.00000000e+00,4.28067288e-22,0.00000000e+00,-2.26227751e-36,2.22792571e-24,2.22792571e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96349539e-10,1.87992463e-15,-3.94784172e-14,0.00000000e+00,0.00000000e+00,7.61008509e-22,0.00000000e+00,1.49048508e-36,3.96075680e-24,3.96075680e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45436923e-10,2.34990578e-15,-4.93480213e-14,0.00000000e+00,0.00000000e+00,1.18907579e-21,0.00000000e+00,7.29818172e-36,6.18868246e-24,6.18868246e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.94524307e-10,2.81988692e-15,-5.92176254e-14,0.00000000e+00,0.00000000e+00,1.71226913e-21,0.00000000e+00,1.77717396e-35,8.91170270e-24,8.91170270e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.43611690e-10,3.28986807e-15,-6.90872294e-14,0.00000000e+00,0.00000000e+00,2.33058852e-21,0.00000000e+00,3.22844022e-35,1.21298175e-23,1.21298175e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.92699074e-10,3.75984920e-15,-7.89568333e-14,0.00000000e+00,0.00000000e+00,3.04403397e-21,0.00000000e+00,5.17632412e-35,1.58430269e-23,1.58430269e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.41786457e-10,4.22983034e-15,-8.88264371e-14,0.00000000e+00,0.00000000e+00,3.85260547e-21,0.00000000e+00,7.92828794e-35,2.00513308e-23,2.00513308e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.90873839e-10,4.69981147e-15,-9.86960409e-14,0.00000000e+00,0.00000000e+00,4.75630303e-21,0.00000000e+00,1.16854524e-34,2.47547292e-23,2.47547292e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.39961222e-10,5.16979260e-15,-1.08565645e-13,0.00000000e+00,0.00000000e+00,5.75512663e-21,0.00000000e+00,1.59666192e-34,2.99532222e-23,2.99532222e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,5.89048604e-10,5.63977372e-15,-1.18435248e-13,0.00000000e+00,0.00000000e+00,6.84907628e-21,0.00000000e+00,2.36244390e-34,3.56468096e-23,3.56468096e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.38135986e-10,6.10975484e-15,-1.28304852e-13,0.00000000e+00,0.00000000e+00,8.03815198e-21,0.00000000e+00,3.19365465e-34,4.18354916e-23,4.18354916e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,6.87223367e-10,6.57973595e-15,-1.38174455e-13,0.00000000e+00,0.00000000e+00,9.32235372e-21,0.00000000e+00,3.96083085e-34,4.85192681e-23,4.85192681e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.36310748e-10,7.04971705e-15,-1.48044058e-13,0.00000000e+00,0.00000000e+00,1.07016815e-20,0.00000000e+00,5.05122109e-34,5.56981391e-23,5.56981391e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,7.85398129e-10,7.51969815e-15,-1.57913661e-13,0.00000000e+00,0.00000000e+00,1.21761353e-20,0.00000000e+00,6.13704250e-34,6.33721045e-23,6.33721045e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.34485510e-10,7.98967925e-15,-1.67783264e-13,0.00000000e+00,0.00000000e+00,1.37457152e-20,0.00000000e+00,7.25158888e-34,7.15411644e-23,7.15411644e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
