t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,2.45436926e-11,0.00000000e+00,0.00000000e+00,1.17495290e-16,-2.46740110e-15,0.00000000e+00,0.00000000e+00,7.43943446e-24,0.00000000e+00,3.40830634e-27,-3.40830637e-27,-6.81661271e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,1.67213784e-39,4.30080000e-08,4.90873851e-11,0.00000000e+00,0.00000000e+00,2.34990580e-16,-4.93480218e-15,-1.11870213e-46,6.71209247e-46,2.97577377e-23,4.02875950e-44,1.36339073e-26,-1.36339073e-26,-2.72678146e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907579e-38,4.30080000e-08,7.36310775e-11,0.00000000e+00,0.00000000e+00,3.52485870e-16,-7.40220326e-15,-1.39216183e-45,8.35282137e-45,6.69549097e-23,2.86489520e-43,3.06778708e-26,-3.06778714e-26,-6.13557421e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,4.18034451e-38,4.30080000e-08,9.81747698e-11,0.00000000e+00,0.00000000e+00,4.69981159e-16,-9.86960434e-15,-6.89865470e-45,4.13911870e-44,1.19030950e-22,1.00718956e-42,5.45413256e-26,-5.45413262e-26,-1.09082652e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,1.07016818e-37,4.30080000e-08,1.22718462e-10,0.00000000e+00,0.00000000e+00,5.87476448e-16,-1.23370054e-14,-2.26723202e-44,1.36031486e-43,1.85985859e-22,2.57840483e-42,8.52254615e-26,-8.52254642e-26,-1.70450926e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,2.27596530e-37,4.30080000e-08,1.47262154e-10,0.00000000e+00,0.00000000e+00,7.04971736e-16,-1.48044065e-14,-5.87317088e-44,3.52383949e-43,2.67819636e-22,5.48358571e-42,1.22731528e-25,-1.22731530e-25,-2.45463058e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,4.28067264e-37,4.30079999e-08,1.71805846e-10,0.00000000e+00,0.00000000e+00,8.22467024e-16,-1.72718075e-14,-1.30067332e-43,7.80390039e-43,3.64532282e-22,1.03136157e-41,1.67060831e-25,-1.67060839e-25,-3.34121670e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,7.37412740e-37,4.30079999e-08,1.96349538e-10,0.00000000e+00,0.00000000e+00,9.39962311e-16,-1.97392085e-14,-2.57636037e-43,1.54578860e-42,4.76123795e-22,1.77668111e-41,2.18214750e-25,-2.18214752e-25,-4.36429503e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907571e-36,4.30079999e-08,2.20893230e-10,0.00000000e+00,0.00000000e+00,1.05745760e-15,-2.22066096e-14,-4.69355373e-43,2.81608194e-42,6.02594176e-22,2.86489212e-41,2.76194700e-25,-2.76194708e-25,-5.52389408e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,1.82095795e-36,4.30079999e-08,2.45436922e-10,0.00000000e+00,0.00000000e+00,1.17495288e-15,-2.46740106e-14,-8.01097952e-43,4.80650193e-42,7.43943425e-22,4.38731278e-41,3.41002184e-25,-3.41002187e-25,-6.82004371e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-02,4.30080000e-08,4.30080000e-08,2.67542028e-36,4.30079998e-08,2.69980614e-10,0.00000000e+00,0.00000000e+00,1.29244817e-15,-2.71414116e-14,-1.29768580e-42,7.78597591e-42,9.00171541e-22,6.44600451e-41,4.12638733e-25,-4.12638746e-25,-8.25277479e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-02,4.30080000e-08,4.30080000e-08,3.79928256e-36,4.30079998e-08,2.94524306e-10,0.00000000e+00,0.00000000e+00,1.40994346e-15,-2.96088126e-14,-2.01388468e-42,1.20830927e-41,1.07127852e-21,9.15377197e-41,4.91105973e-25,-4.91105978e-25,-9.82211951e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-02,4.30080000e-08,4.30080000e-08,5.24382364e-36,4.30079998e-08,3.19067997e-10,0.00000000e+00,0.00000000e+00,1.52743874e-15,-3.20762136e-14,-3.01539847e-42,1.80920686e-41,1.25726438e-21,1.26341630e-40,5.76405548e-25,-5.76405569e-25,-1.15281112e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-02,4.30080000e-08,4.30080000e-08,7.06478145e-36,4.30079998e-08,3.43611689e-10,0.00000000e+00,0.00000000e+00,1.64493403e-15,-3.45436145e-14,-4.37986341e-42,2.62787127e-41,1.45812909e-21,1.70214686e-40,6.68539204e-25,-6.68539214e-25,-1.33707842e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-02,4.30080000e-08,4.30080000e-08,9.32235293e-36,4.30079997e-08,3.68155380e-10,0.00000000e+00,0.00000000e+00,1.76242931e-15,-3.70110155e-14,-6.19784246e-42,3.71863934e-41,1.67387268e-21,2.24607230e-40,7.67508716e-25,-7.67508737e-25,-1.53501745e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-02,4.30080000e-08,4.30080000e-08,1.20811940e-35,4.30079997e-08,3.92699072e-10,0.00000000e+00,0.00000000e+00,1.87992459e-15,-3.94784165e-14,-8.57381959e-42,5.14420033e-41,1.90449513e-21,2.91077035e-40,8.73315921e-25,-8.73315934e-25,-1.74663186e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-02,4.30080000e-08,4.30080000e-08,1.54104198e-35,4.30079996e-08,4.17242763e-10,0.00000000e+00,0.00000000e+00,1.99741988e-15,-4.19458174e-14,-1.16271940e-41,6.97619254e-41,2.14999645e-21,3.71289305e-40,9.85962722e-25,-9.85962752e-25,-1.97192547e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-02,4.30080000e-08,4.30080000e-08,1.93836042e-35,4.30079996e-08,4.41786454e-10,0.00000000e+00,0.00000000e+00,2.11491516e-15,-4.44132183e-14,-1.54932746e-41,9.29579981e-41,2.41037663e-21,4.67016674e-40,1.10545109e-24,-1.10545110e-24,-2.21090218e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-02,4.30080000e-08,4.30080000e-08,2.40787804e-35,4.30079996e-08,4.66330145e-10,0.00000000e+00,0.00000000e+00,2.23241044e-15,-4.68806192e-14,-2.03242738e-41,1.21943481e-40,2.68563568e-21,5.80139208e-40,1.23178302e-24,-1.23178303e-24,-2.46356605e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-02,4.30080000e-08,4.30080000e-08,2.95784404e-35,4.30079995e-08,4.90873836e-10,0.00000000e+00,0.00000000e+00,2.34990572e-15,-4.93480201e-14,-2.62903023e-41,1.57739020e-40,2.97577360e-21,7.12644401e-40,1.36496058e-24,-1.36496061e-24,-2.72992119e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10000000e-02,4.30080000e-08,4.30080000e-08,3.59695353e-35,4.30079995e-08,5.15417527e-10,0.00000000e+00,0.00000000e+00,2.46740100e-15,-5.18154210e-14,-3.35803630e-41,2.01478612e-40,3.28079038e-21,8.66627180e-40,1.50498593e-24,-1.50498595e-24,-3.00997188e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.20000000e-02,4.30080000e-08,4.30080000e-08,4.33434753e-35,4.30079994e-08,5.39961218e-10,0.00000000e+00,0.00000000e+00,2.58489628e-15,-5.42828219e-14,-4.24033451e-41,2.54415572e-40,3.60068603e-21,1.04428990e-39,1.65186124e-24,-1.65186126e-24,-3.30372249e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e-02,4.30080000e-08,4.30080000e-08,5.17961296e-35,4.30079994e-08,5.64504909e-10,0.00000000e+00,0.00000000e+00,2.70239156e-15,-5.67502228e-14,-5.29890186e-41,3.17928496e-40,3.93546055e-21,1.24794234e-39,1.80558874e-24,-1.80558878e-24,-3.61117752e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e-02,4.30080000e-08,4.30080000e-08,6.14278263e-35,4.30079993e-08,5.89048600e-10,0.00000000e+00,0.00000000e+00,2.81988684e-15,-5.92176236e-14,-6.55890284e-41,3.93527226e-40,4.28511393e-21,1.48000172e-39,1.96617078e-24,-1.96617077e-24,-3.93234156e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e-02,4.30080000e-08,4.30080000e-08,7.23433528e-35,4.30079992e-08,6.13592290e-10,0.00000000e+00,0.00000000e+00,2.93738212e-15,-6.16850244e-14,-8.04778879e-41,4.82858816e-40,4.64964617e-21,1.74299267e-39,2.13360963e-24,-2.13360969e-24,-4.26721932e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e-02,4.30080000e-08,4.30080000e-08,8.46519552e-35,4.30079992e-08,6.38135981e-10,0.00000000e+00,0.00000000e+00,3.05487739e-15,-6.41524252e-14,-9.79539741e-41,5.87713495e-40,5.02905728e-21,2.03954726e-39,2.30790785e-24,-2.30790782e-24,-4.61581567e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e-02,4.30080000e-08,4.30080000e-08,9.84673389e-35,4.30079991e-08,6.62679671e-10,0.00000000e+00,0.00000000e+00,3.17237267e-15,-6.66198261e-14,-1.18340521e-40,7.10030635e-40,5.42334726e-21,2.37240500e-39,2.48906769e-24,-2.48906778e-24,-4.97813548e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e-02,4.30080000e-08,4.30080000e-08,1.13907668e-34,4.30079990e-08,6.87223361e-10,0.00000000e+00,0.00000000e+00,3.28986794e-15,-6.90872268e-14,-1.41986614e-40,8.51904712e-40,5.83251609e-21,2.74441279e-39,2.67709195e-24,-2.67709191e-24,-5.35418386e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e-02,4.30080000e-08,4.30080000e-08,1.31095566e-34,4.30079990e-08,7.11767051e-10,0.00000000e+00,0.00000000e+00,3.40736322e-15,-7.15546276e-14,-1.69268183e-40,1.01559127e-39,6.25656380e-21,3.15852500e-39,2.87198289e-24,-2.87198299e-24,-5.74396588e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,1.50158116e-34,4.30079989e-08,7.36310742e-10,0.00000000e+00,0.00000000e+00,3.52485849e-15,-7.40220284e-14,-2.00588998e-40,1.20351289e-39,6.69549037e-21,3.61780340e-39,3.07374354e-24,-3.07374350e-24,-6.14748704e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,1.71226858e-34,4.30079988e-08,7.60854432e-10,0.00000000e+00,0.00000000e+00,3.64235377e-15,-7.64894291e-14,-2.36381663e-40,1.41826514e-39,7.14929580e-21,4.12541719e-39,3.28237612e-24,-3.28237621e-24,-6.56475233e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,1.94437793e-34,4.30079988e-08,7.85398122e-10,0.00000000e+00,0.00000000e+00,3.75984904e-15,-7.89568298e-14,-2.77108609e-40,1.66262257e-39,7.61798010e-21,4.68464299e-39,3.49788390e-24,-3.49788386e-24,-6.99576776e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
