t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,2.45436926e-11,0.00000000e+00,0.00000000e+00,1.17495290e-16,-2.46740109e-15,0.00000000e+00,0.00000000e+00,7.47027669e-24,0.00000000e+00,1.72362706e-26,-1.72362707e-26,-3.44725413e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,1.67213784e-39,4.30080000e-08,4.90873850e-11,0.00000000e+00,0.00000000e+00,2.34990580e-16,-4.93480218e-15,-1.11870207e-46,6.71209214e-46,2.98811067e-23,4.02875946e-44,6.89484912e-26,-6.89484911e-26,-1.37896982e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907579e-38,4.30080000e-08,7.36310774e-11,0.00000000e+00,0.00000000e+00,3.52485870e-16,-7.40220326e-15,-1.39216176e-45,8.35282096e-45,6.72324898e-23,2.86489517e-43,1.55142002e-25,-1.55142002e-25,-3.10284004e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,4.18034451e-38,4.30080000e-08,9.81747698e-11,0.00000000e+00,0.00000000e+00,4.69981159e-16,-9.86960433e-15,-6.89865433e-45,4.13911850e-44,1.19524426e-22,1.00718955e-42,2.75822445e-25,-2.75822446e-25,-5.51644891e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,1.07016818e-37,4.30080000e-08,1.22718462e-10,0.00000000e+00,0.00000000e+00,5.87476447e-16,-1.23370054e-14,-2.26723189e-44,1.36031480e-43,1.86756915e-22,2.57840481e-42,4.30995764e-25,-4.30995767e-25,-8.61991531e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,2.27596530e-37,4.30080000e-08,1.47262154e-10,0.00000000e+00,0.00000000e+00,7.04971736e-16,-1.48044064e-14,-5.87317056e-44,3.52383932e-43,2.68929956e-22,5.48358566e-42,6.20668206e-25,-6.20668212e-25,-1.24133642e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,4.28067264e-37,4.30079999e-08,1.71805846e-10,0.00000000e+00,0.00000000e+00,8.22467023e-16,-1.72718075e-14,-1.30067325e-43,7.80390002e-43,3.66043551e-22,1.03136156e-41,8.44846314e-25,-8.44846325e-25,-1.68969264e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,7.37412740e-37,4.30079999e-08,1.96349538e-10,0.00000000e+00,0.00000000e+00,9.39962311e-16,-1.97392085e-14,-2.57636023e-43,1.54578852e-42,4.78097697e-22,1.77668109e-41,1.10353694e-24,-1.10353695e-24,-2.20707389e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907571e-36,4.30079999e-08,2.20893230e-10,0.00000000e+00,0.00000000e+00,1.05745760e-15,-2.22066095e-14,-4.69355348e-43,2.81608181e-42,6.05092396e-22,2.86489209e-41,1.39674721e-24,-1.39674723e-24,-2.79349445e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,1.82095795e-36,4.30079999e-08,2.45436922e-10,0.00000000e+00,0.00000000e+00,1.17495288e-15,-2.46740106e-14,-8.01097909e-43,4.80650170e-42,7.47027647e-22,4.38731273e-41,1.72448458e-24,-1.72448461e-24,-3.44896920e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
