t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
1.00000000e-03,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30080000e-08,2.45436926e-11,0.00000000e+00,0.00000000e+00,1.17495290e-16,-2.46740110e-15,0.00000000e+00,0.00000000e+00,7.43173348e-24,0.00000000e+00,-4.44016385e-29,4.44015910e-29,8.88032295e-29,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-03,4.30080000e-08,4.30080000e-08,1.67213784e-39,4.30080000e-08,4.90873851e-11,0.00000000e+00,0.00000000e+00,2.34990580e-16,-4.93480219e-15,-1.11870214e-46,6.71209255e-46,2.97269724e-23,4.02875951e-44,-1.60328973e-28,1.60329039e-28,3.20658012e-28,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907579e-38,4.30080000e-08,7.36310775e-11,0.00000000e+00,0.00000000e+00,3.52485870e-16,-7.40220327e-15,-1.39216185e-45,8.35282147e-45,6.68857743e-23,2.86489520e-43,-3.21876337e-28,3.21876261e-28,6.43752598e-28,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-03,4.30080000e-08,4.30080000e-08,4.18034451e-38,4.30080000e-08,9.81747698e-11,0.00000000e+00,0.00000000e+00,4.69981159e-16,-9.86960434e-15,-6.89865479e-45,4.13911875e-44,1.18908197e-22,1.00718956e-42,-5.03151165e-28,5.03151431e-28,1.00630260e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-03,4.30080000e-08,4.30080000e-08,1.07016818e-37,4.30080000e-08,1.22718462e-10,0.00000000e+00,0.00000000e+00,5.87476448e-16,-1.23370054e-14,-2.26723205e-44,1.36031488e-43,1.85794298e-22,2.57840484e-42,-6.78274292e-28,6.78275638e-28,1.35654993e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-03,4.30080000e-08,4.30080000e-08,2.27596530e-37,4.30080000e-08,1.47262154e-10,0.00000000e+00,0.00000000e+00,7.04971736e-16,-1.48044065e-14,-5.87317096e-44,3.52383953e-43,2.67544134e-22,5.48358573e-42,-8.21381333e-28,8.21382772e-28,1.64276411e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-03,4.30080000e-08,4.30080000e-08,4.28067264e-37,4.30079999e-08,1.71805846e-10,0.00000000e+00,0.00000000e+00,8.22467024e-16,-1.72718075e-14,-1.30067334e-43,7.80390048e-43,3.64157764e-22,1.03136157e-41,-9.06619807e-28,9.06622318e-28,1.81324213e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,4.30080000e-08,4.30080000e-08,7.37412740e-37,4.30079999e-08,1.96349538e-10,0.00000000e+00,0.00000000e+00,9.39962311e-16,-1.97392085e-14,-2.57636040e-43,1.54578862e-42,4.75635244e-22,1.77668111e-41,-9.08148319e-28,9.08152351e-28,1.81630067e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00000000e-03,4.30080000e-08,4.30080000e-08,1.18907571e-36,4.30079999e-08,2.20893230e-10,0.00000000e+00,0.00000000e+00,1.05745760e-15,-2.22066096e-14,-4.69355379e-43,2.81608198e-42,6.01976632e-22,2.86489212e-41,-8.00140180e-28,8.00148298e-28,1.60028848e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,4.30080000e-08,4.30080000e-08,1.82095795e-36,4.30079999e-08,2.45436922e-10,0.00000000e+00,0.00000000e+00,1.17495288e-15,-2.46740106e-14,-8.01097963e-43,4.80650198e-42,7.43181985e-22,4.38731279e-41,-5.56783634e-28,5.56791211e-28,1.11357484e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10000000e-02,4.30080000e-08,4.30080000e-08,2.67542028e-36,4.30079998e-08,2.69980614e-10,0.00000000e+00,0.00000000e+00,1.29244817e-15,-2.71414116e-14,-1.29768581e-42,7.78597600e-42,8.99251362e-22,6.44600452e-41,-1.52273653e-28,1.52288266e-28,3.04561918e-28,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.20000000e-02,4.30080000e-08,4.30080000e-08,3.79928256e-36,4.30079998e-08,2.94524306e-10,0.00000000e+00,0.00000000e+00,1.40994346e-15,-2.96088126e-14,-2.01388471e-42,1.20830929e-41,1.07018482e-21,9.15377199e-41,4.39179231e-28,-4.39164425e-28,-8.78343656e-28,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30000000e-02,4.30080000e-08,4.30080000e-08,5.24382364e-36,4.30079998e-08,3.19067997e-10,0.00000000e+00,0.00000000e+00,1.52743874e-15,-3.20762136e-14,-3.01539851e-42,1.80920688e-41,1.25598241e-21,1.26341630e-40,1.24334967e-27,-1.24332777e-27,-2.48667744e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.40000000e-02,4.30080000e-08,4.30080000e-08,7.06478145e-36,4.30079998e-08,3.43611689e-10,0.00000000e+00,0.00000000e+00,1.64493403e-15,-3.45436145e-14,-4.37986347e-42,2.62787130e-41,1.45664420e-21,1.70214687e-40,2.28601140e-27,-2.28599343e-27,-4.57200482e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-02,4.30080000e-08,4.30080000e-08,9.32235293e-36,4.30079997e-08,3.68155380e-10,0.00000000e+00,0.00000000e+00,1.76242931e-15,-3.70110155e-14,-6.19784254e-42,3.71863938e-41,1.67217024e-21,2.24607231e-40,3.59290960e-27,-3.59288405e-27,-7.18579365e-27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.60000000e-02,4.30080000e-08,4.30080000e-08,1.20811940e-35,4.30079997e-08,3.92699072e-10,0.00000000e+00,0.00000000e+00,1.87992459e-15,-3.94784165e-14,-8.57381970e-42,5.14420039e-41,1.90256059e-21,2.91077036e-40,5.18979924e-27,-5.18977844e-27,-1.03795777e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70000000e-02,4.30080000e-08,4.30080000e-08,1.54104198e-35,4.30079996e-08,4.17242763e-10,0.00000000e+00,0.00000000e+00,1.99741988e-15,-4.19458174e-14,-1.16271942e-41,6.97619262e-41,2.14781530e-21,3.71289305e-40,7.10240253e-27,-7.10237255e-27,-1.42047751e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.80000000e-02,4.30080000e-08,4.30080000e-08,1.93836042e-35,4.30079996e-08,4.41786454e-10,0.00000000e+00,0.00000000e+00,2.11491516e-15,-4.44132183e-14,-1.54932748e-41,9.29579992e-41,2.40793444e-21,4.67016675e-40,9.35645700e-27,-9.35642555e-27,-1.87128826e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90000000e-02,4.30080000e-08,4.30080000e-08,2.40787804e-35,4.30079996e-08,4.66330145e-10,0.00000000e+00,0.00000000e+00,2.23241044e-15,-4.68806192e-14,-2.03242741e-41,1.21943482e-40,2.68291805e-21,5.80139209e-40,1.19776503e-26,-1.19776093e-26,-2.39552596e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e-02,4.30080000e-08,4.30080000e-08,2.95784404e-35,4.30079995e-08,4.90873836e-10,0.00000000e+00,0.00000000e+00,2.34990572e-15,-4.93480201e-14,-2.62903027e-41,1.57739022e-40,2.97276620e-21,7.12644403e-40,1.49917176e-26,-1.49916695e-26,-2.99833870e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
