# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.374841259383e-10       4.157734227633e-15       3.535752771212e-13       2.285927107884e-19       8.407238225724e-09       4.505571892557e-10      -1.842175367303e-12 
    3       1.301656550049e-10       5.319267563038e-15       3.960229033672e-13       4.572723300964e-19       5.105317095163e-09       3.181306780070e-10      -1.395017180508e-12 
    4       1.232511421880e-10       4.596678759374e-15       3.699154384768e-13       7.623122422819e-19       3.524705800191e-09       2.403420951163e-10      -9.127599419853e-13 
    5       1.180769643116e-10       3.064005367848e-15       3.147611030252e-13       1.143824355891e-18       2.618840030886e-09       1.895336871813e-10      -5.071102554820e-13 
    6       1.145368885581e-10       1.712374999080e-15       2.533074014366e-13       1.601945213874e-18       2.038298964214e-09       1.539900551844e-10      -2.085431867061e-13 
    7       1.122392890935e-10       9.256051812766e-16       1.987558215475e-13       2.136833884667e-18       1.639312977357e-09       1.279303952605e-10      -1.836703444806e-14 
    8       1.109104962661e-10       5.979118316401e-16       1.568633954689e-13       2.748669546576e-18       1.351119897757e-09       1.081959413679e-10       7.845835467058e-14 
    9       1.103061431052e-10       4.805301509272e-16       1.288738484848e-13       3.437648822738e-18       1.134999875919e-09       9.290896962875e-11       1.053327994786e-13 
   10       1.101985963829e-10       4.103249664111e-16       1.134466393817e-13       4.203982929087e-18       9.681093420508e-10       8.081629362768e-11       8.815515980001e-14 
   11       1.105317565471e-10       3.462818099463e-16       1.078859427637e-13       5.047894701183e-18       8.315055471683e-10       7.184399698870e-11       5.106263707874e-14 
   12       1.111551848054e-10       3.036229634262e-16       1.091396910385e-13       5.969615567343e-18       7.263957529763e-10       6.351798280210e-11       1.157922096571e-14 
   13       1.120201287297e-10       2.928731903156e-16       1.145245592334e-13       6.969382535181e-18       6.401196716345e-10       5.676204907509e-11      -1.834475972111e-14 
   14       1.130794743138e-10       3.060191969095e-16       1.220051116979e-13       8.047435256530e-18       5.683493176828e-10       5.087753020670e-11      -3.453949490342e-14 
   15       1.143211265237e-10       3.316291272878e-16       1.302783479996e-13       9.204013231773e-18       5.079505897403e-10       4.592986183016e-11      -3.728130406615e-14 
   16       1.156708555615e-10       3.674756507573e-16       1.387115079436e-13       1.043935320905e-17       4.566050593500e-10       4.166746101093e-11      -3.056112449583e-14 
   17       1.171558176837e-10       4.190254279305e-16       1.471130853921e-13       1.175368682677e-17       4.125652147208e-10       3.794921753458e-11      -1.957597351194e-14 
   18       1.187133448757e-10       4.915438768836e-16       1.556782273387e-13       1.314723844633e-17       3.743516117809e-10       3.470854097926e-11      -9.188597427478e-15 
   19       1.203551367398e-10       5.853541661367e-16       1.646272762366e-13       1.462022385953e-17       3.413412017656e-10       3.189837891412e-11      -1.955924291177e-15 
   20       1.220742128971e-10       6.985059940075e-16       1.741293244638e-13       1.617284782102e-17       3.122751897359e-10       2.940510211914e-11       4.743659067559e-16 
   21       1.238717694778e-10       8.303408610926e-16       1.841435132047e-13       1.780530445492e-17       2.866943282828e-10       2.718250588146e-11      -1.290803533643e-15 
   22       1.257215575426e-10       9.803397736509e-16       1.944803989692e-13       1.951777472090e-17       2.639799168660e-10       2.517375786002e-11      -5.475756187356e-15 
   23       1.276300195202e-10       1.148733474399e-15       2.048025124560e-13       2.131042839698e-17       2.438265200639e-10       2.337083227155e-11      -1.034975966819e-14 
   24       1.295915588866e-10       1.335833971192e-15       2.146814792124e-13       2.318342110997e-17       2.257729040867e-10       2.175810832808e-11      -1.409386142792e-14 
   25       1.316009925487e-10       1.541898719671e-15       2.238203344131e-13       2.513689693247e-17       2.095732034923e-10       2.031392118463e-11      -1.594291098737e-14 
   26       1.336406365426e-10       1.767311376942e-15       2.319745665850e-13       2.717098634937e-17       1.949093388977e-10       1.900205592402e-11      -1.561239467916e-14 
   27       1.357200948043e-10       2.013651059013e-15       2.390767685605e-13       2.928581306098e-17       1.817046691883e-10       1.781333164076e-11      -1.360584608722e-14 
   28       1.378420599745e-10       2.283084510821e-15       2.451377006502e-13       3.148148725168e-17       1.697985583520e-10       1.673248412814e-11      -1.089553756487e-14 
   29       1.399956198097e-10       2.577815950449e-15       2.501986697598e-13       3.375810578791e-17       1.589011261026e-10       1.573346995241e-11      -8.565157938454e-15 
   30       1.421874023558e-10       2.899017215084e-15       2.543074857698e-13       3.611576435474e-17       1.489518859188e-10       1.481531084766e-11      -6.987361983231e-15 
   31       1.444191531643e-10       3.247467386368e-15       2.575374663334e-13       3.855454877972e-17       1.398766198795e-10       1.397820200651e-11      -6.330864903820e-15 
   32       1.466828478054e-10       3.623877799303e-15       2.599530522920e-13       4.107453441748e-17       1.315312988170e-10       1.321539135165e-11      -6.675659386218e-15 
   33       1.489779746845e-10       4.029121984832e-15       2.614593624791e-13       4.367579726717e-17       1.238702059304e-10       1.252032334082e-11      -7.686332563902e-15 
