# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.374836577754e-10       4.157505634866e-15       3.535752809421e-13       0.000000000000e+00       8.407238225724e-09       4.505571892557e-10      -1.842175367303e-12 
    3       1.301647209797e-10       5.318810290156e-15       3.960229204080e-13       0.000000000000e+00       5.105317095163e-09       3.181306780070e-10      -1.395017180508e-12 
    4       1.232495905285e-10       4.595916444420e-15       3.699154874912e-13       0.000000000000e+00       3.524705800191e-09       2.403420951163e-10      -9.127599419853e-13 
    5       1.180746461392e-10       3.062861534207e-15       3.147612148249e-13       0.000000000000e+00       2.618840030886e-09       1.895336871813e-10      -5.071102554820e-13 
    6       1.145336584662e-10       1.710773028549e-15       2.533076215958e-13       0.000000000000e+00       2.038298964214e-09       1.539900551844e-10      -2.085431867061e-13 
    7       1.122350056373e-10       9.234682885021e-16       1.987562129165e-13       0.000000000000e+00       1.639312977357e-09       1.279303952605e-10      -1.836703444806e-14 
    8       1.109050223532e-10       5.951630403812e-16       1.568640404645e-13       0.000000000000e+00       1.351119897757e-09       1.081959413679e-10       7.845835467058e-14 
    9       1.102993462802e-10       4.770922726796e-16       1.288748511327e-13       0.000000000000e+00       1.134999875919e-09       9.290896962875e-11       1.053327994786e-13 
   10       1.101903490018e-10       4.061205819825e-16       1.134481270926e-13       0.000000000000e+00       9.681093420508e-10       8.081629362768e-11       8.815515980001e-14 
   11       1.105219358437e-10       3.412332546248e-16       1.078880678264e-13       0.000000000000e+00       8.315055471683e-10       7.184399698870e-11       5.106263707874e-14 
   12       1.111436728520e-10       2.976523164020e-16       1.091426318237e-13       0.000000000000e+00       7.263957529763e-10       6.351798280210e-11       1.157922096571e-14 
   13       1.120068123016e-10       2.859022690090e-16       1.145285211021e-13       0.000000000000e+00       6.401196716345e-10       5.676204907509e-11      -1.834475972111e-14 
   14       1.130642446674e-10       2.979695568185e-16       1.220103276158e-13       0.000000000000e+00       5.683493176828e-10       5.087753020670e-11      -3.453949490342e-14 
   15       1.143038791023e-10       3.224220678904e-16       1.302850788635e-13       0.000000000000e+00       5.079505897403e-10       4.592986183016e-11      -3.728130406615e-14 
   16       1.156514896446e-10       3.570322278939e-16       1.387200426278e-13       0.000000000000e+00       4.566050593500e-10       4.166746101093e-11      -3.056112449583e-14 
   17       1.171342359962e-10       4.072664729471e-16       1.471237405275e-13       0.000000000000e+00       4.125652147208e-10       3.794921753458e-11      -1.957597351194e-14 
   18       1.186894531687e-10       4.783900223971e-16       1.556913468355e-13       0.000000000000e+00       3.743516117809e-10       3.470854097926e-11      -9.188597427478e-15 
   19       1.203288434083e-10       5.707258798207e-16       1.646432305853e-13       0.000000000000e+00       3.413412017656e-10       3.189837891412e-11      -1.955924291177e-15 
   20       1.220454285233e-10       6.823236163252e-16       1.741485097797e-13       0.000000000000e+00       3.122751897359e-10       2.940510211914e-11       4.743659067559e-16 
