# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.26245 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048918815428e-05       4.788039431359e+01 
       1.320510551652e-05       5.979255485455e+01 
       1.662424290017e-05       7.466825833007e+01 
       2.092868183886e-05       9.324475750518e+01 
       2.634764940229e-05       1.164425864264e+02 
       3.316972537359e-05       1.454111495782e+02 
       4.175821017505e-05       1.815854938697e+02 
       5.257047194041e-05       2.267570359778e+02 
       6.618230303579e-05       2.831615772476e+02 
       8.331858310282e-05       3.535886289040e+02 
       1.048918815428e-04       4.415166732490e+02 
       1.320510551652e-04       5.512797279696e+02 
       1.662424290017e-04       6.882707588685e+02 
       2.092868183886e-04       8.591869326059e+02 
       2.634764940229e-04       1.072319479512e+03 
       3.316972537359e-04       1.337885954167e+03 
       4.175821017505e-04       1.668393670669e+03 
       5.257047194041e-04       2.079009888173e+03 
       6.618230303579e-04       2.587896971828e+03 
       8.331858310282e-04       3.216441550850e+03 
       1.048918815428e-03       3.989228640446e+03 
       1.320510551652e-03       4.933453941818e+03 
       1.662424290017e-03       6.077227532920e+03 
       2.092868183886e-03       7.447170248990e+03 
       2.634764940229e-03       9.063684965679e+03 
       3.316972537359e-03       1.093485378958e+04 
       4.175821017505e-03       1.304806471649e+04 
       5.257047194041e-03       1.535900279270e+04 
       6.618230303579e-03       1.777797995945e+04 
       8.331858310282e-03       2.015352924693e+04 
       1.048918815428e-02       2.225856353535e+04 
       1.320510551652e-02       2.378248843079e+04 
       1.662424290014e-02       2.435094817059e+04 
       2.092868167313e-02       2.359671355149e+04 
       2.634752303892e-02       2.135392974837e+04 
       3.315221173302e-02       1.796456309997e+04 
       4.117468099316e-02       1.458476827486e+04 
       4.794563939770e-02       1.265035229028e+04 
       5.285484700978e-02       1.170001274549e+04 
       5.690201148906e-02       1.110746797831e+04 
       6.051499192136e-02       1.066030131486e+04 
       6.388440074152e-02       1.026972019967e+04 
       6.711107530057e-02       9.891075677496e+03 
       7.025545631868e-02       9.500544625180e+03 
       7.335723417326e-02       9.086683285237e+03 
       7.644437511947e-02       8.646612124999e+03 
       7.953774028152e-02       8.183902919974e+03 
       8.265365169113e-02       7.706914648956e+03 
       8.580541247414e-02       7.227298764908e+03 
       8.900425502372e-02       6.758305343661e+03 
       9.225995773054e-02       6.313277455155e+03 
       9.558126023198e-02       5.904119353371e+03 
       9.897615110504e-02       5.540024993253e+03 
       1.024520719250e-01       5.226471057983e+03 
       1.060160647823e-01       4.964731073738e+03 
       1.096748805265e-01       4.751493589629e+03 
       1.134350590760e-01       4.579198349932e+03 
       1.173029894449e-01       4.436311325628e+03 
       1.212849547970e-01       4.308491445211e+03 
       1.253871663102e-01       4.180229236540e+03 
       1.296157886381e-01       4.037262419105e+03 
       1.339769590877e-01       3.869348399633e+03 
       1.384768021919e-01       3.672726512661e+03 
       1.431214410572e-01       3.451339132317e+03 
       1.479170066787e-01       3.216174665054e+03 
       1.528696462844e-01       2.982684077888e+03 
       1.579855316916e-01       2.766956309471e+03 
       1.632708686114e-01       2.581690227052e+03 
       1.687319078009e-01       2.433007736622e+03 
       1.743749589467e-01       2.318918132465e+03 
       1.802064081486e-01       2.229749316702e+03 
       1.862327398641e-01       2.151246753055e+03 
       1.924605641684e-01       2.067449461752e+03 
       1.988966501912e-01       1.966223588493e+03 
       2.055479665997e-01       1.845635468358e+03 
       2.124217300355e-01       1.714145278890e+03 
       2.195254624672e-01       1.585756630620e+03 
       2.268670585202e-01       1.473161953112e+03 
       2.344548639932e-01       1.382937656531e+03 
       2.422977669882e-01       1.313185377269e+03 
       2.504053033875e-01       1.254184954976e+03 
       2.587877788301e-01       1.193709226747e+03 
       2.674564099078e-01       1.124294891552e+03 
       2.764234880558e-01       1.047057398441e+03 
       2.857025706122e-01       9.704121656946e+02 
       2.953087048414e-01       9.036732109864e+02 
       3.052586924699e-01       8.495928243250e+02 
       3.155714046123e-01       8.034814004257e+02 
       3.262681600970e-01       7.578238608402e+02 
       3.373731844449e-01       7.084100928089e+02 
       3.489141725836e-01       6.578772497502e+02 
       3.609229864732e-01       6.116240315482e+02 
       3.734365302534e-01       5.720819734811e+02 
       3.864978618932e-01       5.362264432615e+02 
       4.001576242039e-01       5.002021360475e+02 
       4.144759135320e-01       4.638470578449e+02 
       4.295247581810e-01       4.298742137013e+02 
       4.453914618625e-01       3.992534451210e+02 
       4.621831996411e-01       3.702929967708e+02 
       4.800334694302e-01       3.415554046679e+02 
       4.991113645532e-01       3.141298380682e+02 
       5.196352632779e-01       2.886860410547e+02 
       5.418936703814e-01       2.639315521556e+02 
       5.662780954545e-01       2.399321627348e+02 
       5.933371141277e-01       2.169893532711e+02 
       6.238696928073e-01       1.944729550512e+02 
       6.590958083936e-01       1.724396323556e+02 
       7.009901197144e-01       1.504888500837e+02 
       7.529865873174e-01       1.283518102264e+02 
       8.215864568670e-01       1.055428315055e+02 
       9.201578720965e-01       8.162344734522e+01 
       1.075995842135e+00       5.697144378345e+01 
       1.324119888977e+00       3.508587165083e+01 
       1.664175615976e+00       2.037488687384e+01 
       2.095019758826e+00       1.167932795162e+01 
       2.637473413780e+00       6.639441231102e+00 
       3.320382303434e+00       3.746338645952e+00 
       4.180113658665e+00       2.099600315476e+00 
       5.262451309081e+00       1.169462645467e+00 
