# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.26245 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048918815428e-05       4.788004488292e+01 
       1.320510551652e-05       5.979211910519e+01 
       1.662424290017e-05       7.466771539068e+01 
       2.092868183886e-05       9.324408190302e+01 
       2.634764940229e-05       1.164417475218e+02 
       3.316972537359e-05       1.454101114247e+02 
       4.175821017505e-05       1.815842161605e+02 
       5.257047194041e-05       2.267554774468e+02 
       6.618230303579e-05       2.831597043019e+02 
       8.331858310282e-05       3.535864350758e+02 
       1.048918815428e-04       4.415142206084e+02 
       1.320510551652e-04       5.512772326176e+02 
       1.662424290017e-04       6.882687641922e+02 
       2.092868183886e-04       8.591866561237e+02 
       2.634764940229e-04       1.072323500803e+03 
       3.316972537359e-04       1.337899567525e+03 
       4.175821017505e-04       1.668427518332e+03 
       5.257047194041e-04       2.079085017710e+03 
       6.618230303579e-04       2.588054357730e+03 
       8.331858310282e-04       3.216759477974e+03 
       1.048918815428e-03       3.989852933554e+03 
       1.320510551652e-03       4.934646572361e+03 
       1.662424290017e-03       6.079435272212e+03 
       2.092868183886e-03       7.451103511030e+03 
       2.634764940229e-03       9.070382729681e+03 
       3.316972537359e-03       1.094573161938e+04 
       4.175821017505e-03       1.306497196452e+04 
       5.257047194041e-03       1.538416363106e+04 
       6.618230303579e-03       1.781393709922e+04 
       8.331858310282e-03       2.020328915532e+04 
       1.048918815428e-02       2.232538980079e+04 
       1.320510551652e-02       2.386860282231e+04 
       1.662424290014e-02       2.445503924415e+04 
       2.092868167313e-02       2.371488267490e+04 
       2.634752303892e-02       2.147596285646e+04 
       3.315221173302e-02       1.807925540850e+04 
       4.117468099316e-02       1.468617005387e+04 
       4.794563939770e-02       1.274279268322e+04 
       5.285484700978e-02       1.178791662206e+04 
       5.690201148906e-02       1.119252546331e+04 
       6.051499192136e-02       1.074314091573e+04 
       6.388440074152e-02       1.035049003337e+04 
       6.711107530057e-02       9.969668421314e+03 
       7.025545631868e-02       9.576713825687e+03 
       7.335723417326e-02       9.160118424724e+03 
       7.644437511947e-02       8.716995590571e+03 
       7.953774028152e-02       8.250958178944e+03 
       8.265365169113e-02       7.770443463053e+03 
       8.580541247414e-02       7.287206886715e+03 
       8.900425502372e-02       6.814616221448e+03 
       9.225995773054e-02       6.366134375459e+03 
       9.558126023198e-02       5.953774093494e+03 
       9.897615110504e-02       5.586815158910e+03 
       1.024520719250e-01       5.270788780311e+03 
       1.060160647823e-01       5.006987120460e+03 
       1.096748805265e-01       4.792077576280e+03 
       1.134350590760e-01       4.618441146466e+03 
       1.173029894449e-01       4.474449427158e+03 
       1.212849547970e-01       4.345641085519e+03 
       1.253871663102e-01       4.216374564938e+03 
       1.296157886381e-01       4.072264703070e+03 
       1.339769590877e-01       3.902979645487e+03 
       1.384768021919e-01       3.704725140495e+03 
       1.431214410572e-01       3.481477047245e+03 
       1.479170066787e-01       3.244319345999e+03 
       1.528696462844e-01       3.008838549180e+03 
       1.579855316916e-01       2.791265809968e+03 
       1.632708686114e-01       2.604413339648e+03 
       1.687319078009e-01       2.454459112149e+03 
       1.743749589467e-01       2.339396986160e+03 
       1.802064081486e-01       2.249471079589e+03 
       1.862327398641e-01       2.170301946394e+03 
       1.924605641684e-01       2.085787680245e+03 
       1.988966501912e-01       1.983686676871e+03 
       2.055479665997e-01       1.862047746210e+03 
       2.124217300355e-01       1.729406033236e+03 
       2.195254624672e-01       1.599889865138e+03 
       2.268670585202e-01       1.486305296866e+03 
       2.344548639932e-01       1.395288119428e+03 
       2.422977669882e-01       1.324923743383e+03 
       2.504053033875e-01       1.265405694449e+03 
       2.587877788301e-01       1.204397688271e+03 
       2.674564099078e-01       1.134369623839e+03 
       2.764234880558e-01       1.056446869947e+03 
       2.857025706122e-01       9.791203197745e+02 
       2.953087048414e-01       9.117877432672e+02 
       3.052586924699e-01       8.572264249377e+02 
       3.155714046123e-01       8.107048657420e+02 
       3.262681600970e-01       7.646405782366e+02 
       3.373731844449e-01       7.147856099290e+02 
       3.489141725836e-01       6.638008688183e+02 
       3.609229864732e-01       6.171337154602e+02 
       3.734365302534e-01       5.772376917018e+02 
       3.864978618932e-01       5.410610136512e+02 
       4.001576242039e-01       5.047136689705e+02 
       4.144759135320e-01       4.680322327893e+02 
       4.295247581810e-01       4.337542204611e+02 
       4.453914618625e-01       4.028582712897e+02 
       4.621831996411e-01       3.736373998103e+02 
       4.800334694302e-01       3.446411886665e+02 
       4.991113645532e-01       3.169686626477e+02 
       5.196352632779e-01       2.912956484762e+02 
       5.418936703814e-01       2.663180236577e+02 
       5.662780954545e-01       2.421021889123e+02 
       5.933371141277e-01       2.189523679882e+02 
       6.238696928073e-01       1.962327038266e+02 
       6.590958083936e-01       1.740003817814e+02 
       7.009901197144e-01       1.518512532721e+02 
       7.529865873174e-01       1.295140890642e+02 
       8.215864568670e-01       1.064988120344e+02 
       9.201578720965e-01       8.236297597011e+01 
       1.075995842135e+00       5.748776959251e+01 
       1.324119888977e+00       3.540393730994e+01 
       1.664175615976e+00       2.055962808558e+01 
       2.095019758826e+00       1.178523877170e+01 
       2.637473413780e+00       6.699653915084e+00 
       3.320382303434e+00       3.780315638554e+00 
       4.180113658665e+00       2.118642996864e+00 
       5.262451309081e+00       1.180069492697e+00 
